acpi 1.8-2
xorg-xwayland 24.1.8-1
xorg-xwininfo 1.1.6-2
xsp 4.7.1-3
xss-lock 0.3.0.r30.gac39fdc-1
xterm 402-1
yay 12.5.2-2
zed 0.206.6-1
zplug 2.4.2-1
zsh-antidote 1.9.10-1
zsh-completions 0.35.0-3
